appid,name,content
1900,Earth 2160,earth 2160 base building futuristic multiplayer rts sci fi singleplayer strategy base building futuristic multiplayer rts sci fi singleplayer strategy after the destruction of the earth in 2150 the leaders of the eurasian dynasty escaped on board an evacuation fleet now they are fighting for the survival of the human species their base is one large building comprising of smaller variable parts
1930,Two Worlds Epic Edition,two worlds epic edition action action rpg adventure character customization dark fantasy fantasy medieval multiplayer open world rpg singleplayer story rich third person action action rpg adventure character customization dark fantasy fantasy medieval multiplayer open world rpg singleplayer story rich third person 300 years after aziraal has been banished a brother and sister are drawn into the conflict which has flared up between the orcs and the free world kyra the hero s younger sister suddenly disappears in mysterious circumstances if my family really belongs to the chosen ones why then have we always been as poor as church mice
2100,Dark Messiah of Might & Magic,dark messiah of might magic action action rpg adventure atmospheric classic dark fantasy fps fantasy first person gore hack and slash magic medieval multiplayer multiple endings rpg singleplayer stealth story rich swordplay action action rpg adventure atmospheric classic dark fantasy fps fantasy first person gore hack and slash magic medieval multiplayer multiple endings rpg singleplayer stealth story rich swordplay discover a new breed of action rpg game powered by an enhanced version of the source engine by valve set in the might amp magic universe players will experience ferocious combat in a dark and immersive fantasy environment swords stealth sorcery choose your way to kill
2200,Quake III Arena,quake iii arena 1990s action arena shooter atmospheric classic competitive difficult fps fast paced first person gore masterpiece moddable multiplayer sci fi shooter singleplayer e sports 1990s action arena shooter atmospheric classic competitive difficult fps fast paced first person gore masterpiece moddable multiplayer sci fi shooter singleplayer e sports welcome to the arena where high ranking warriors are transformed into spineless mush abandoning every ounce of common sense and any trace of doubt you lunge onto a stage of harrowing landscapes and veiled abysses
2210,Quake IV,quake iv action adventure arena shooter atmospheric classic dark fps fast paced first person gore horror multiplayer sci fi shooter singleplayer action adventure arena shooter atmospheric classic dark fps fast paced first person gore horror multiplayer sci fi shooter singleplayer the latest chapter in the quake series is now on steam
2270,Wolfenstein 3D,wolfenstein 3d 1990s 2 5d action adventure classic difficult fps first person great soundtrack moddable multiplayer old school pixel graphics retro shooter singleplayer world war ii 1990s 2 5d action adventure classic difficult fps first person great soundtrack moddable multiplayer old school pixel graphics retro shooter singleplayer world war ii maybe it was the fact that people got to blow away nazis maybe it was the sheer challenge of it all for whatever reason wolfenstein 3d and spear of destiny pioneered the first person shooter genre and brought its legendary creators id software worldwide notoriety and numerous awards
2280,Ultimate Doom,ultimate doom 1990s 2 5d action classic demons difficult fps fast paced first person gore great soundtrack masterpiece moddable multiplayer old school retro sci fi shooter singleplayer violent 1990s 2 5d action classic demons difficult fps fast paced first person gore great soundtrack masterpiece moddable multiplayer old school retro sci fi shooter singleplayer violent the complete megahit game that set the world afire plus all new episode iv thy flesh consumed the demons came and the marines died except one you are the last defense against these hell spawned hordes prepare for the most intense mutant laden blood splattered action ever
2290,Final DOOM,final doom 1990s action atmospheric classic demons difficult fps first person gore great soundtrack horror moddable multiplayer old school online co op retro sci fi shooter singleplayer zombies 1990s action atmospheric classic demons difficult fps first person gore great soundtrack horror moddable multiplayer old school online co op retro sci fi shooter singleplayer zombies two new 32 level doom ii episodes evilution far from earth the uac recommenced their experiments on on of the moons of jupiter a spaceship mistaken for a supply vexxel on radar hovered above the base hideous demons poured out blanketing the base with death all your comrades were quickly slaughtered or zombified
2300,DOOM II,doom ii 1990s action classic demons fps first person gore great soundtrack horror moddable multiplayer old school online co op pixel graphics retro sci fi shooter singleplayer violent zombies 1990s action classic demons fps first person gore great soundtrack horror moddable multiplayer old school online co op pixel graphics retro sci fi shooter singleplayer violent zombies let the obsession begin again this time the entire forces of the netherworld have overrun earth to save her you must descend into the stygian depths of hell itself battle mightier nastier deadlier demons and monsters use more powerful weapons
2310,QUAKE,quake 1990s action atmospheric classic competitive fps fast paced first person gore great soundtrack horror lovecraftian masterpiece moddable multiplayer old school retro sci fi shooter singleplayer 1990s action atmospheric classic competitive fps fast paced first person gore great soundtrack horror lovecraftian masterpiece moddable multiplayer old school retro sci fi shooter singleplayer rage through 32 single player levels and 6 deathmatch levels of sheer terror and fully immersive sound and lighting arm yourself against the cannibalistic ogre fiendish vore and indestructible schambler using lethal nails fierce thunderbolts and abominable rocket and grenade launchers
